,year,geo_lvl,geo_cd,geo_desc,plan_type,tot_opioid_clms,tot_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_5y_chg,opioid_prscrbng_rate_1y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_5y_chg,la_opioid_prscrbng_rate_1y_chg
237,2020,State,30.0,Montana,All,287494.0,2947481.0,9.75,2.24,-0.1,180978.0,62.95,51.71,2.69
238,2020,State,30.0,Montana,FFS,287494.0,2947481.0,9.75,2.24,-0.1,180978.0,62.95,51.71,2.69
240,2020,State,31.0,Nebraska,All,72359.0,2324659.0,3.11,-2.6,0.01,7550.0,10.43,0.27,-1.28
243,2020,State,32.0,Nevada,All,274352.0,5842864.0,4.7,-4.18,-0.18,23009.0,8.39,-0.58,-0.28
244,2020,State,32.0,Nevada,FFS,103928.0,1858364.0,5.59,-3.56,-0.36,11245.0,10.82,-1.09,-0.58
245,2020,State,32.0,Nevada,MC,170424.0,3984500.0,4.28,-4.42,-0.12,11764.0,6.9,0.01,-0.09
246,2020,State,33.0,New Hampshire,All,49153.0,2249176.0,2.19,-3.96,-0.24,6290.0,12.8,0.59,-0.97
247,2020,State,33.0,New Hampshire,FFS,823.0,35692.0,2.31,-3.72,-0.31,84.0,10.21,1.07,-1.8
248,2020,State,33.0,New Hampshire,MC,48330.0,2213484.0,2.18,-3.98,-0.24,6206.0,12.84,0.26,-0.97
249,2020,State,34.0,New Jersey,All,450417.0,17796374.0,2.53,-2.35,-0.11,36346.0,8.07,-0.22,-0.32
250,2020,State,34.0,New Jersey,FFS,7198.0,337762.0,2.13,-2.91,-0.32,1214.0,16.87,-3.37,-2.89
251,2020,State,34.0,New Jersey,MC,443219.0,17458612.0,2.54,-2.33,-0.11,35132.0,7.93,0.2,-0.23
252,2020,State,35.0,New Mexico,All,158530.0,4556018.0,3.48,-3.44,-0.55,4899.0,3.09,-1.48,-0.52
253,2020,State,35.0,New Mexico,FFS,7746.0,277037.0,2.8,-7.32,-1.42,302.0,3.9,1.49,-0.19
