Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2020,State,08,Colorado,FFS,369261,6960955,5.3,-4.91,-0.33,36275,9.82,1.1,0.52
2020,State,08,Colorado,MC,20091,579025,3.47,,-0.51,1744,8.68,,0.16
2020,State,09,Connecticut,All,254566,8855410,2.87,-3.22,-0.31,22929,9.01,-0.85,1.2
2020,State,09,Connecticut,FFS,254566,8855410,2.87,-3.22,-0.31,22929,9.01,-0.85,1.2
2020,State,09,Connecticut,MC,0,0,,,,0,,,
2020,State,10,Delaware,All,72222,2676252,2.7,-3.6,-0.53,11609,16.07,0.3,0.16
2020,State,10,Delaware,FFS,686,34846,1.97,-3.14,0.2,50,7.29,-3.72,2.97
2020,State,10,Delaware,MC,71536,2641406,2.71,-3.65,-0.55,11559,16.16,0.18,0.11
2020,State,11,District of Columbia,All,46589,1845621,2.52,-2.3,-0.26,2039,4.38,-1.53,0.38
2020,State,11,District of Columbia,FFS,17873,691243,2.59,-2.72,-0.38,1206,6.75,-3.37,0.13
2020,State,11,District of Columbia,MC,28716,1154378,2.49,-2,-0.16,833,2.9,0.39,0.87
2020,State,12,Florida,All,660176,25356087,2.6,-2.43,0.02,52038,7.88,-1.41,0.72
2020,State,12,Florida,FFS,19615,1321554,1.48,-1.68,0.12,1651,8.42,0.41,0.22
2020,State,12,Florida,MC,640561,24034533,2.67,-2.62,0.02,50387,7.87,-1.52,0.75
2020,State,13,Georgia,All,517381,14513150,3.56,-2.71,-0.26,28777,5.56,0.49,-0.34
2020,State,13,Georgia,FFS,307447,6810582,4.51,-2.59,-0.38,24482,7.96,0.19,-0.79
2020,State,13,Georgia,MC,209934,7702568,2.73,-2.81,-0.18,4295,2.05,-0.02,0.2
2020,State,15,Hawaii,All,78057,2090581,3.73,-3.02,-0.18,6132,7.86,-3.15,-1.31
2020,State,15,Hawaii,FFS,514,3884,13.23,-6.45,-0.55,,,,
2020,State,15,Hawaii,MC,77543,2086697,3.72,-2.98,-0.16,,,,
2020,State,16,Idaho,All,132076,3372544,3.92,-2.93,0.3,8694,6.58,-3.62,-1.35
2020,State,16,Idaho,FFS,132076,3372544,3.92,-2.93,0.3,8694,6.58,-3.62,-1.35
2020,State,16,Idaho,MC,0,0,,,,0,,,
2020,State,17,Illinois,All,759916,24072560,3.16,-2.92,-0.16,22535,2.97,-0.9,-0.36
2020,State,17,Illinois,FFS,31192,1590871,1.96,-4.01,-0.04,820,2.63,-1.06,-0.21
2020,State,17,Illinois,MC,728724,22481689,3.24,-2.92,-0.21,21715,2.98,-1.02,-0.38
2020,State,18,Indiana,All,542625,15446410,3.51,-3.57,-0.16,29270,5.39,-1.62,-0.36
2020,State,18,Indiana,FFS,44665,2075456,2.15,-2.88,-0.16,3838,8.59,0.66,0.27
2020,State,18,Indiana,MC,497960,13370954,3.72,-5.49,-0.17,25432,5.11,-1.38,-0.4
2020,State,19,Iowa,All,437881,6801710,6.44,0.57,1.78,273534,62.47,55.6,16.48
2020,State,19,Iowa,FFS,6330,128504,4.93,-0.99,-0.03,3504,55.36,48.49,16.82
2020,State,19,Iowa,MC,431551,6673206,6.47,6.45,1.82,270030,62.57,62.57,16.31
2020,State,20,Kansas,All,90567,3109049,2.91,-3.43,-0.39,6379,7.04,-3.34,-0.71
2020,State,20,Kansas,FFS,130,12103,1.07,-1.8,-0.53,0,0,-9.74,-5.14
2020,State,20,Kansas,MC,90437,3096946,2.92,-3.44,-0.39,6379,7.05,-3.34,-0.71
2020,State,21,Kentucky,All,619883,21099248,2.94,-1.13,-0.04,17091,2.76,-0.44,0.03
2020,State,21,Kentucky,FFS,26178,1471351,1.78,-0.84,0.43,998,3.81,-7.62,-2.33
2020,State,21,Kentucky,MC,593705,19627897,3.02,-1.16,-0.02,16093,2.71,-0.08,0.04
2020,State,22,Louisiana,All,560087,18824650,2.98,-2.43,-0.28,13245,2.36,-1.17,0.05
2020,State,22,Louisiana,FFS,6233,730271,0.85,-2.65,-0.12,514,8.25,3.2,-0.64
2020,State,22,Louisiana,MC,553854,18094379,3.06,-2.96,-0.29,12731,2.3,-0.95,0.07
2020,State,23,Maine,All,74688,2414014,3.09,-2.72,-0.32,10045,13.45,-1.16,-0.6
2020,State,23,Maine,FFS,74688,2414014,3.09,-2.72,-0.32,10045,13.45,-1.16,-0.6
2020,State,23,Maine,MC,0,0,,,,0,,,
2020,State,24,Maryland,All,468119,13069563,3.58,-3.02,-0.2,45590,9.74,-1.91,-0.63
2020,State,24,Maryland,FFS,19888,4628153,0.43,-1.36,-0.1,2514,12.64,-0.94,1.05
2020,State,24,Maryland,MC,448231,8441410,5.31,-3.68,-0.09,43076,9.61,-1.85,-0.7
2020,State,25,Massachusetts,All,342792,15980380,2.15,-2.76,-0.09,31538,9.2,0.47,-0.39
2020,State,25,Massachusetts,FFS,164256,7811349,2.1,-2.07,-0.12,16612,10.11,-0.12,-0.07
2020,State,25,Massachusetts,MC,178536,8169031,2.19,-3.27,-0.08,14926,8.36,0.46,-0.69
2020,State,26,Michigan,All,941387,26621594,3.54,-4.49,-0.26,46836,4.98,-1.28,-0.66
2020,State,26,Michigan,FFS,71103,8392302,0.85,-1.65,-0.15,4980,7,-0.42,-0.92
2020,State,26,Michigan,MC,870284,18229292,4.77,-6.09,-0.29,41856,4.81,-1.31,-0.63
2020,State,27,Minnesota,All,309747,11399765,2.72,-3.02,-0.09,25288,8.16,0.02,0.23
2020,State,27,Minnesota,FFS,37959,1759224,2.16,-2.72,-0.2,3344,8.81,-0.05,-0.25
2020,State,27,Minnesota,MC,271788,9640541,2.82,-3.17,-0.08,21944,8.07,0.1,0.32
2020,State,28,Mississippi,All,159798,4845372,3.3,-3.59,-0.37,6870,4.3,0.27,-0.39
2020,State,28,Mississippi,FFS,23874,912022,2.62,-1.45,-0.5,1462,6.12,0.7,-1.17
2020,State,28,Mississippi,MC,135924,3933350,3.46,-4.63,-0.33,5408,3.98,0.24,-0.26
2020,State,29,Missouri,All,308392,10587674,2.91,-3.07,-0.33,20919,6.78,-2.35,-1.14
2020,State,29,Missouri,FFS,308392,10587674,2.91,-3.07,-0.33,20919,6.78,-2.35,-1.14
2020,State,29,Missouri,MC,0,0,,,,0,,,
2020,State,30,Montana,All,287494,2947481,9.75,2.24,-0.1,180978,62.95,51.71,2.69
2020,State,30,Montana,FFS,287494,2947481,9.75,2.24,-0.1,180978,62.95,51.71,2.69
2020,State,30,Montana,MC,0,0,,,,0,,,
2020,State,31,Nebraska,All,72359,2324659,3.11,-2.6,0.01,7550,10.43,0.27,-1.28
2020,State,31,Nebraska,FFS,62,4542,1.37,-4.48,-0.88,,,,
2020,State,31,Nebraska,MC,72297,2320117,3.12,0.2,0.01,,,,
2020,State,32,Nevada,All,274352,5842864,4.7,-4.18,-0.18,23009,8.39,-0.58,-0.28
2020,State,32,Nevada,FFS,103928,1858364,5.59,-3.56,-0.36,11245,10.82,-1.09,-0.58
2020,State,32,Nevada,MC,170424,3984500,4.28,-4.42,-0.12,11764,6.9,0.01,-0.09
2020,State,33,New Hampshire,All,49153,2249176,2.19,-3.96,-0.24,6290,12.8,0.59,-0.97
2020,State,33,New Hampshire,FFS,823,35692,2.31,-3.72,-0.31,84,10.21,1.07,-1.8
2020,State,33,New Hampshire,MC,48330,2213484,2.18,-3.98,-0.24,6206,12.84,0.26,-0.97
2020,State,34,New Jersey,All,450417,17796374,2.53,-2.35,-0.11,36346,8.07,-0.22,-0.32
2020,State,34,New Jersey,FFS,7198,337762,2.13,-2.91,-0.32,1214,16.87,-3.37,-2.89
2020,State,34,New Jersey,MC,443219,17458612,2.54,-2.33,-0.11,35132,7.93,0.2,-0.23
2020,State,35,New Mexico,All,158530,4556018,3.48,-3.44,-0.55,4899,3.09,-1.48,-0.52
2020,State,35,New Mexico,FFS,7746,277037,2.8,-7.32,-1.42,302,3.9,1.49,-0.19
2020,State,35,New Mexico,MC,150784,4278981,3.52,-3.3,-0.49,4597,3.05,-1.62,-0.53
2020,State,36,New York,All,989308,61494381,1.61,-1.62,-0.13,73639,7.44,-1.36,-0.45
2020,State,36,New York,FFS,44888,6555191,0.68,-1.26,-0.27,5932,13.22,0.2,-0.51
2020,State,36,New York,MC,944420,54939190,1.72,-1.69,-0.13,67707,7.17,-1.32,-0.28
2020,State,37,North Carolina,All,455498,13806081,3.3,-3.75,-0.05,51418,11.29,1.97,-0.12
2020,State,37,North Carolina,FFS,455498,13806081,3.3,-3.75,-0.05,51418,11.29,1.97,-0.12
2020,State,37,North Carolina,MC,0,0,,,,0,,,
2020,State,38,North Dakota,All,27692,943905,2.93,-4,-0.19,828,2.99,-4.96,-0.18
